rule_collection,action,rule_name,source_address,destination_fqdn,protocol_type,protocol_port,priority
nesp-np-globalrules-nco,Allow,nesp-np-22-Internaltolz-nrl,nesp_ipg_All_Internal_Network,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",TCP,22,314
nesp-np-globalrules-nco,Allow,nesp-np-22-lztointernal-nrl,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",nesp_ipg_All_Internal_Network,TCP,22,315
nesp-np-globalrules-nco,Allow,nesp-np-3389-Internaltolz-nrl,nesp_ipg_All_Internal_Network,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",TCP,3389,316
nesp-np-globalrules-nco,Allow,nesp-np-3389-lztointernal-nrl,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",nesp_ipg_All_Internal_Network,TCP,3389,317
nesp-np-globalrules-nco,Allow,nesp-np-53-allowdns-nrl,nesp_ipg_All_Internal_Network,nesp_ipg_All_Internal_Network,"TCP,UDP",53,318
nesp-np-globalrules-nco,Allow,nesp-np-443-internalapplication-nrl,nesp_ipg_All_Internal_Network,nesp_ipg_All_Internal_Network,TCP,443,319
nesp-np-globalrules-nco,Allow,nesp-np-636-onpremtolz-nrl,nesp_ipg_glbl_Nespresso_Onprem,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",TCP,636,320
nesp-np-globalrules-nco,Allow,nesp-np-636-lztoonprem-nrl,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",nesp_ipg_glbl_Nespresso_Onprem,TCP,636,321
nesp-np-globalrules-nco,Allow,nesp-np-25-onpremtolz-nrl,nesp_ipg_glbl_Nespresso_Onprem,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",TCP,25,322
nesp-np-globalrules-nco,Allow,nesp-np-25-lztoonprem-nrl,"nesp_ipg_euwe_pr_Azure_Network, nesp_ipg_euwe_np_Azure_Network, nesp_ipg_usea_pr_Azure_Network, nesp_ipg_usea_np_Azure_Network, nesp_ipg_asse_pr_Azure_Network, nesp_ipg_asse_np_Azure_Network",nesp_ipg_glbl_Nespresso_Onprem,TCP,25,323
nesp-np-globalrules-nco,Allow,nesp-np-5000-lztoeda-nrl,nesp_ipg_euwe_np_Azure_Network,nesp_ipg_glbl_np_eda,TCP,5000-5010,324
nesp-np-mdmsemarchy-nco,Allow,nesp-np-sqlServer-nrl,10.118.21.32/27,10.118.21.64/27,TCP,1433,333
nesp-np-mdmsemarchy-nco,Allow,nesp-np-valconSQL-nrl,"10.235.222.25, 10.235.222.28, 10.235.222.22, 10.235.222.23, 10.235.222.24, 10.235.222.149, 10.235.222.150",10.118.21.64/27,TCP,1433,334
nesp-np-mdmsemarchy-nco,Allow,nesp-np-semarchyValconVDI-nrl,"10.235.222.25, 10.235.222.28, 10.235.222.22, 10.235.222.23, 10.235.222.24, 10.235.222.149, 10.235.222.150",10.118.21.32/27,TCP,8088,335
nesp-np-mdmsemarchy-nco,Allow,nesp-np-semarchyInternal-nrl,nesp_ipg_All_Internal_Network,10.118.21.32/27,TCP,8088,336
