rule_collection,action,rule_name,source_address,destination_fqdn,translated_address,protocol_type,protocol_port,priority,translated_port
nesp-np-msp-dco,Dnat,nesp-dv-aks-80-drl,*,20.61.117.15,10.118.5.105,TCP,80,100,80
nesp-np-msp-dco,Dnat,nesp-dv-aks-443-drl,*,20.61.117.15,10.118.5.105,TCP,443,101,443
nesp-np-ncsdataaggregator-dco,Dnat,nesp-dv-fnc-80-drl,*,20.61.117.95,10.118.10.72,TCP,80,104,80
nesp-np-ncsdataaggregator-dco,Dnat,nesp-dv-fnc-443-drl,*,20.61.117.95,10.118.10.72,TCP,443,105,443
nesp-np-ncsdataaggregator-dco,Dnat,nesp-in-fnc-80-drl,*,20.61.116.22,10.118.10.76,TCP,80,106,80
nesp-np-ncsdataaggregator-dco,Dnat,nesp-in-fnc-443-drl,*,20.61.116.22,10.118.10.76,TCP,443,107,443
nesp-np-ncsdataaggregator-dco,Dnat,nesp-st-fnc-80-drl,*,20.61.112.140,10.118.10.75,TCP,80,108,80
nesp-np-ncsdataaggregator-dco,Dnat,nesp-st-fnc-443-drl,*,20.61.112.140,10.118.10.75,TCP,443,109,443
nesp-np-ncsdataaggregator-dco,Dnat,nesp-ro-fnc-80-drl,*,20.61.115.105,10.118.10.74,TCP,80,110,80
nesp-np-ncsdataaggregator-dco,Dnat,nesp-ro-fnc-443-drl,*,20.61.115.105,10.118.10.74,TCP,443,111,443
nesp-np-ncstrackorder-dco,Dnat,nesp-dv-fnc-80-drl,*,20.61.115.157,10.118.10.69,TCP,80,114,80
nesp-np-ncstrackorder-dco,Dnat,nesp-dv-fnc-443-drl,*,20.61.115.157,10.118.10.69,TCP,443,115,443
nesp-np-ncstrackorder-dco,Dnat,nesp-in-fnc-80-drl,*,20.61.116.144,10.118.10.68,TCP,80,116,80
nesp-np-ncstrackorder-dco,Dnat,nesp-in-fnc-443-drl,*,20.61.116.144,10.118.10.68,TCP,443,117,443
nesp-np-ncstrackorder-dco,Dnat,nesp-st-fnc-80-drl,*,20.61.117.164,10.118.10.70,TCP,80,118,80
nesp-np-ncstrackorder-dco,Dnat,nesp-st-fnc-443-drl,*,20.61.117.164,10.118.10.70,TCP,443,119,443
nesp-np-ncstrackorder-dco,Dnat,nesp-ro-fnc-80-drl,*,20.61.116.244,10.118.10.71,TCP,80,120,80
nesp-np-ncstrackorder-dco,Dnat,nesp-ro-fnc-443-drl,*,20.61.116.244,10.118.10.71,TCP,443,121,443
